property_type,sector,price,bedroom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category
house,sector 82,6.5,4.0,3.0,0,Relatively New,3240.0,0.0,0.0,1.0,Low,Low Floor
flat,sector 36,2.3,2.0,2.0,2,New Property,1479.0,0.0,0.0,1.0,Medium,High Floor
house,sector 45,17.0,5.0,8.0,3+,Relatively New,4500.0,1.0,1.0,0.0,High,Mid Floor
flat,sector 108,0.8,3.0,3.0,3,Relatively New,1657.9896907216496,0.0,0.0,0.0,High,Mid Floor
flat,sector 70,1.1,3.0,2.0,2,Relatively New,1350.0,0.0,0.0,0.0,Low,Mid Floor
house,sector 43,14.0,9.0,9.0,3+,Moderately Old,3510.0,1.0,0.0,1.0,Low,Mid Floor
flat,sector 107,0.5,3.0,2.0,2,Relatively New,580.5,0.0,0.0,1.0,Low,Mid Floor
flat,sector 2,1.36,3.0,3.0,3,Moderately Old,1605.6701030927836,0.0,0.0,0.0,Medium,Mid Floor
house,sector 3,1.0,1.0,1.0,0,Relatively New,1500.0,0.0,0.0,0.0,Low,Low Floor
house,sector 14,6.46,5.0,5.0,2,Moderately Old,3420.0,1.0,0.0,0.0,Low,Mid Floor
flat,sector 112,3.29,3.0,3.0,3,Relatively New,2225.56,1.0,0.0,0.0,High,Low Floor
flat,sector 81,2.22,3.0,4.0,3,Relatively New,2399.4845360824743,1.0,0.0,0.0,High,High Floor
house,sector 7,0.69,1.0,1.0,1,Old Property,758.0,0.0,0.0,1.0,Low,Low Floor
flat,sector 81,3.46,4.0,4.0,3,New Property,2590.721649484536,1.0,0.0,0.0,High,Mid Floor
flat,sector 71,1.3,4.0,4.0,3,Moderately Old,2119.8453608247423,1.0,0.0,1.0,Medium,Mid Floor
flat,sector 70,1.75,3.0,4.0,2,Relatively New,1950.0,1.0,0.0,1.0,Low,High Floor
flat,sector 84,0.73,2.0,2.0,3,Relatively New,932.7371134020618,0.0,1.0,1.0,High,Mid Floor
flat,sohna road,0.4,2.0,2.0,1,New Property,471.6,0.0,0.0,0.0,Low,Low Floor
flat,sector 49,2.7,3.0,4.0,3,Moderately Old,2159.0,0.0,0.0,1.0,Low,Mid Floor
house,sector 23,5.0,4.0,4.0,2,Old Property,3078.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 63,3.15,3.0,3.0,3,Relatively New,2153.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 37,0.85,2.0,3.0,3,Relatively New,1301.2268041237112,0.0,0.0,1.0,Low,Mid Floor
house,sector 49,3.75,2.0,6.0,3,Moderately Old,1467.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 1,0.75,3.0,3.0,3,Moderately Old,1907.860824742268,1.0,0.0,0.0,Low,Mid Floor
house,sector 9,1.65,2.0,3.0,0,Old Property,900.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 33,2.1,3.0,3.0,2,Under Construction,1613.7886597938143,0.0,0.0,1.0,Low,Mid Floor
flat,sector 69,1.5,3.0,3.0,2,Relatively New,1341.7268041237112,0.0,0.0,0.0,High,Mid Floor
flat,sector 43,6.0,4.0,4.0,3,Old Property,2070.0,1.0,0.0,0.0,High,High Floor
flat,sector 92,0.9,4.0,5.0,3,Relatively New,1799.6134020618558,1.0,0.0,0.0,Low,Mid Floor
flat,sector 89,0.9,3.0,3.0,N,Under Construction,1910.0,0.0,0.0,1.0,Medium,High Floor
flat,sohna road,0.78,2.0,2.0,2,Relatively New,1140.2061855670104,0.0,0.0,0.0,Medium,Mid Floor
house,sector 105,0.7,3.0,2.0,2,Moderately Old,1200.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 95,0.55,2.0,2.0,2,New Property,1017.0,0.0,0.0,1.0,Medium,High Floor
flat,sector 48,11.25,4.0,5.0,3,Relatively New,3582.0,1.0,0.0,0.0,Low,Low Floor
flat,sector 37,1.1,3.0,3.0,3,Relatively New,1556.0567010309278,0.0,0.0,1.0,Medium,Mid Floor
house,sector 26,17.3,6.0,7.0,3+,New Property,4518.0,1.0,1.0,0.0,Medium,Mid Floor
flat,sector 82,1.0,2.0,2.0,2,Relatively New,1294.458762886598,0.0,0.0,0.0,Medium,High Floor
flat,sector 70,1.25,3.0,3.0,3,Under Construction,1682.3453608247423,0.0,0.0,1.0,Medium,High Floor
flat,sector 106,1.25,3.0,4.0,3,Relatively New,1305.0,1.0,0.0,1.0,High,High Floor
flat,sector 70,0.97,3.0,3.0,3,Relatively New,1335.0515463917527,0.0,0.0,1.0,Medium,Low Floor
house,sector 82,3.2,3.0,4.0,3,New Property,2160.0,1.0,1.0,0.0,Medium,Low Floor
flat,sector 82,2.25,3.0,3.0,3,Relatively New,1890.0,1.0,0.0,0.0,Medium,High Floor
flat,sector 69,1.75,4.0,4.0,1,Relatively New,1777.0618556701031,0.0,0.0,0.0,Medium,High Floor
flat,sohna road,0.42,2.0,2.0,1,New Property,477.9,0.0,0.0,0.0,Medium,High Floor
flat,sector 90,1.17,3.0,3.0,3,Relatively New,1630.0,0.0,0.0,0.0,Medium,High Floor
flat,sector 95,0.45,2.0,2.0,1,Relatively New,884.020618556701,0.0,0.0,0.0,Medium,Low Floor
flat,sector 48,2.75,3.0,4.0,3,Moderately Old,2300.7860824742265,0.0,0.0,0.0,Low,Mid Floor
flat,sector 102,1.4,2.0,2.0,2,New Property,1058.4407216494849,0.0,0.0,0.0,Low,High Floor
flat,sector 102,2.65,4.0,5.0,3,Moderately Old,2303.865979381443,1.0,0.0,0.0,Medium,High Floor
flat,sector 69,1.32,3.0,3.0,1,Relatively New,1414.4329896907218,0.0,0.0,0.0,Medium,High Floor
flat,sector 69,1.32,3.0,3.0,1,Relatively New,1414.4329896907218,0.0,0.0,0.0,Medium,High Floor
flat,sector 33,3.3,3.0,3.0,3,New Property,2160.0,1.0,1.0,1.0,Medium,Low Floor
flat,sector 86,0.95,3.0,2.0,1,New Property,1521.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 48,5.0,3.0,4.0,3,Moderately Old,3870.0,0.0,0.0,0.0,Medium,High Floor
flat,sector 92,0.6,2.0,2.0,3,Under Construction,1190.721649484536,0.0,0.0,1.0,Low,High Floor
flat,sector 86,0.44,2.0,2.0,2,Relatively New,540.9,0.0,0.0,0.0,Medium,Mid Floor
house,sector 4,1.1,4.0,4.0,3+,Old Property,1800.0,0.0,0.0,1.0,Low,Low Floor
flat,sector 37,0.99,3.0,4.0,3,Relatively New,1498.121134020619,1.0,0.0,1.0,Low,Mid Floor
flat,sector 70,1.63,3.0,3.0,3,New Property,1401.9603092783505,1.0,0.0,0.0,Low,Mid Floor
flat,sector 70,5.0,6.0,7.0,3,Relatively New,4320.0,1.0,0.0,1.0,Medium,Low Floor
house,sector 81,0.75,3.0,2.0,3,Under Construction,1095.0,0.0,0.0,1.0,Medium,Mid Floor
house,sector 69,0.8,1.0,1.0,0,New Property,763.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 108,1.6,3.0,4.0,3,Relatively New,1500.29,1.0,0.0,0.0,Medium,Mid Floor
flat,sector 62,2.1,2.0,2.0,2,New Property,1360.5438144329896,1.0,0.0,0.0,Medium,High Floor
flat,sector 95,0.31,2.0,2.0,1,Relatively New,494.244,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 69,1.36,3.0,3.0,2,Relatively New,1423.4536082474226,0.0,0.0,0.0,Low,High Floor
flat,sector 90,0.45,2.0,2.0,1,New Property,563.4,0.0,0.0,0.0,Low,Low Floor
flat,sector 110,3.3,4.0,5.0,3,Relatively New,3021.9072164948457,1.0,0.0,1.0,Medium,Mid Floor
flat,sector 93,0.85,2.0,2.0,N,Relatively New,597.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 81,2.3,3.0,4.0,3,Relatively New,1655.9149484536083,1.0,0.0,0.0,Medium,High Floor
house,sector 28,9.0,6.0,7.0,3+,Moderately Old,3240.0,1.0,1.0,1.0,Medium,Mid Floor
flat,sector 81,2.26,3.0,4.0,3,New Property,1894.3298969072168,1.0,0.0,0.0,High,High Floor
flat,sector 107,0.94,2.0,2.0,3,Moderately Old,1232.2164948453608,0.0,0.0,0.0,Medium,Low Floor
flat,sector 63,7.8,4.0,4.0,N,Relatively New,3950.0,0.0,0.0,0.0,Medium,Mid Floor
house,sector 109,9.4,5.0,6.0,3+,Relatively New,3600.0,1.0,1.0,0.0,Medium,Low Floor
flat,sector 92,0.65,3.0,3.0,3,Moderately Old,1299.375,0.0,0.0,0.0,Medium,Low Floor
house,sector 48,6.0,4.0,4.0,3+,Moderately Old,2700.0,1.0,0.0,0.0,Medium,Low Floor
flat,sector 99,0.27,2.0,2.0,1,Relatively New,435.6,0.0,0.0,1.0,Low,Mid Floor
flat,sector 85,1.75,3.0,4.0,3,Relatively New,2172.1649484536083,1.0,0.0,0.0,Low,Mid Floor
house,sector 48,8.5,4.0,6.0,3,Old Property,3240.0,1.0,0.0,1.0,Low,Mid Floor
flat,sohna road,0.32,2.0,2.0,2,New Property,467.1,0.0,0.0,1.0,Low,Low Floor
flat,sector 108,2.5,3.0,3.0,2,New Property,1480.0,0.0,0.0,0.0,High,High Floor
flat,sector 102,1.26,2.0,2.0,2,Relatively New,1096.005154639175,0.0,0.0,1.0,Medium,Mid Floor
flat,sohna road,0.45,2.0,2.0,1,New Property,477.9,0.0,0.0,1.0,Low,Mid Floor
house,sector 25,6.25,5.0,5.0,3,Moderately Old,1800.0,1.0,0.0,0.0,Medium,Low Floor
house,sector 33,1.15,2.0,2.0,3,Relatively New,1400.0,0.0,0.0,0.0,Medium,Low Floor
flat,sohna road,0.9,2.0,2.0,2,Relatively New,1275.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 81,0.31,1.0,1.0,1,Relatively New,332.0798969072165,0.0,0.0,0.0,Medium,High Floor
house,sector 67,5.46,4.0,5.0,3+,Relatively New,2259.0,0.0,1.0,0.0,Medium,Low Floor
flat,sector 99,3.2,4.0,4.0,N,New Property,3225.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 83,1.1,3.0,3.0,3,Relatively New,1600.0,0.0,0.0,0.0,Medium,Mid Floor
flat,new,0.85,4.0,4.0,3,Moderately Old,1602.0618556701031,0.0,0.0,1.0,Low,Mid Floor
flat,sector 9,1.3,4.0,4.0,3,Moderately Old,2580.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 77,1.08,3.0,4.0,3,Relatively New,1804.1237113402065,1.0,0.0,0.0,High,Mid Floor
flat,sector 70,1.65,3.0,5.0,3,Relatively New,1401.9603092783505,1.0,0.0,0.0,High,Mid Floor
flat,sector 1,0.85,3.0,3.0,3,Moderately Old,1939.4329896907216,1.0,0.0,1.0,Low,Mid Floor
flat,sector 99,1.23,3.0,5.0,3,Relatively New,1801.4175257731958,1.0,0.0,0.0,Medium,Mid Floor
flat,sector 37,1.25,3.0,3.0,3,Relatively New,1412.5386597938143,0.0,0.0,1.0,Low,Low Floor
house,sector 4,0.75,2.0,4.0,3,Moderately Old,640.0,0.0,0.0,1.0,Low,Low Floor
flat,sector 2,0.35,2.0,2.0,2,Relatively New,800.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 63,1.55,2.0,2.0,2,Under Construction,945.0,0.0,0.0,1.0,Low,Low Floor
flat,sector 6,0.6,2.0,2.0,N,Relatively New,790.0,0.0,0.0,0.0,Low,Low Floor
house,sector 14,5.51,3.0,3.0,2,Moderately Old,3249.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 81,3.0,4.0,5.0,2,Relatively New,2873.0670103092784,1.0,0.0,0.0,Medium,Mid Floor
house,sector 49,3.75,2.0,6.0,3+,Moderately Old,1467.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 69,1.68,4.0,4.0,2,Relatively New,1813.1443298969075,0.0,0.0,0.0,Medium,Low Floor
flat,sohna road,0.22,1.0,1.0,1,Relatively New,477.85,0.0,0.0,0.0,Low,Mid Floor
flat,sohna road,1.01,2.0,2.0,3,Relatively New,1081.494845360825,0.0,0.0,0.0,Medium,High Floor
flat,sector 33,0.4,2.0,2.0,2,Relatively New,721.6494845360825,0.0,0.0,0.0,Low,Low Floor
flat,sector 28,1.0,1.0,1.0,1,Old Property,992.2680412371134,0.0,0.0,0.0,Medium,Low Floor
house,sector 66,12.0,4.0,4.0,3+,Relatively New,3240.0,1.0,1.0,0.0,High,Mid Floor
flat,sector 68,1.85,3.0,3.0,3,Under Construction,1792.3969072164948,0.0,0.0,1.0,Low,High Floor
house,sector 13,0.45,1.0,1.0,0,Old Property,936.0,0.0,0.0,1.0,Low,Low Floor
house,sector 50,11.29,5.0,5.0,3+,Moderately Old,3240.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 61,1.57,2.0,2.0,2,New Property,1150.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 99,0.35,2.0,2.0,1,Relatively New,490.5,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 83,0.65,2.0,2.0,2,Relatively New,950.0,0.0,0.0,0.0,High,Low Floor
flat,sector 90,1.25,3.0,3.0,3,Relatively New,1650.0,0.0,0.0,0.0,Low,Mid Floor
house,sector 66,18.0,5.0,6.0,3+,Relatively New,4500.0,1.0,1.0,0.0,High,Mid Floor
flat,sector 1,0.73,3.0,3.0,3,Moderately Old,1554.6134020618556,1.0,0.0,1.0,Medium,Low Floor
flat,sohna road,0.54,2.0,2.0,2,Relatively New,760.5,0.0,0.0,0.0,High,Mid Floor
house,sector 22,4.75,7.0,5.0,3+,Old Property,2367.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 54,1.5,3.0,3.0,3,Moderately Old,1700.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 48,6.25,3.0,5.0,3,Moderately Old,2592.0,1.0,0.0,0.0,Low,Mid Floor
flat,sector 71,1.32,4.0,4.0,3,Moderately Old,1978.221649484536,1.0,0.0,1.0,Medium,High Floor
flat,sector 66,1.7,2.0,2.0,2,Relatively New,1068.9432989690722,0.0,0.0,0.0,Medium,Mid Floor
house,sector 61,2.01,3.0,3.0,3,New Property,1549.0,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 95,0.57,2.0,2.0,2,Relatively New,1364.0,0.0,0.0,0.0,Low,Mid Floor
house,sector 31,3.5,4.0,4.0,3,Old Property,1449.0,0.0,1.0,0.0,Medium,Low Floor
flat,sector 108,0.98,2.0,3.0,3,Relatively New,978.23,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 106,1.2,3.0,4.0,3,Relatively New,1186.0,1.0,0.0,0.0,High,Mid Floor
flat,sector 68,1.0,2.0,2.0,3,Relatively New,720.0,0.0,0.0,1.0,Low,High Floor
flat,sector 65,1.9,2.0,2.0,3,Under Construction,1137.5,0.0,0.0,1.0,Medium,Mid Floor
house,sector 21,1.6,5.0,5.0,2,Relatively New,120.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 36,0.24,1.0,1.0,1,New Property,370.8,0.0,0.0,0.0,Medium,Mid Floor
house,sector 66,15.1,5.0,5.0,3+,New Property,8067.799999999999,1.0,1.0,1.0,Medium,Mid Floor
flat,sector 102,1.7,3.0,4.0,3,Relatively New,1700.0,1.0,0.0,0.0,High,Mid Floor
flat,sector 102,1.85,3.0,3.0,3,Relatively New,1822.5,1.0,0.0,0.0,Medium,Low Floor
house,sector 26,13.5,5.0,5.0,3+,Relatively New,4518.0,1.0,0.0,0.0,Low,Low Floor
flat,sector 22,4.63,3.0,5.0,3,New Property,2787.3711340206187,1.0,0.0,0.0,Medium,Mid Floor
flat,sector 99,0.3,2.0,1.0,N,New Property,405.0,0.0,0.0,0.0,Low,High Floor
flat,sector 70,1.62,3.0,3.0,3,Relatively New,1401.9603092783505,1.0,0.0,1.0,Medium,Mid Floor
flat,sector 70,1.2,2.0,2.0,3,Moderately Old,1280.9278350515465,0.0,0.0,0.0,Low,Mid Floor
flat,sector 92,1.3,4.0,4.0,N,Relatively New,2040.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 108,0.9,2.0,3.0,3,Relatively New,1157.3453608247423,1.0,0.0,0.0,Medium,Mid Floor
flat,sector 82,1.85,3.0,3.0,3,Moderately Old,1512.0742268041238,0.0,0.0,1.0,Low,High Floor
flat,sector 111,2.58,3.0,4.0,2,Relatively New,2200.0,1.0,0.0,1.0,Medium,Mid Floor
flat,sector 74,2.25,3.0,3.0,3,Relatively New,1900.0,0.0,0.0,1.0,High,Mid Floor
flat,sector 89,1.13,3.0,3.0,2,New Property,1193.4,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 86,0.45,2.0,2.0,1,Relatively New,523.2689999999999,0.0,0.0,1.0,Medium,Mid Floor
house,sector 3,0.75,2.0,2.0,0,Relatively New,130.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 69,1.37,3.0,3.0,1,Relatively New,1387.371134020619,0.0,0.0,0.0,Medium,High Floor
flat,sector 66,3.98,3.0,4.0,3,Moderately Old,2200.0,1.0,0.0,0.0,Medium,Low Floor
flat,sector 103,0.5,2.0,2.0,N,Relatively New,750.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 90,1.27,4.0,5.0,2,New Property,2038.9046391752577,1.0,0.0,1.0,Medium,Mid Floor
flat,sector 4,0.42,2.0,2.0,1,Relatively New,675.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 111,0.7,2.0,2.0,2,Relatively New,626.4,0.0,0.0,0.0,Medium,Mid Floor
flat,sohna road,1.3,3.0,3.0,3,Relatively New,1370.255154639175,0.0,0.0,1.0,Low,Mid Floor
flat,sector 84,0.36,2.0,2.0,1,Relatively New,479.4010309278351,0.0,1.0,0.0,Medium,Mid Floor
flat,sector 92,0.92,4.0,5.0,3,Moderately Old,1895.0,0.0,0.0,0.0,Medium,High Floor
flat,sector 95,0.38,2.0,2.0,2,Relatively New,579.708,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 48,15.0,5.0,6.0,3,Relatively New,6030.0,1.0,0.0,0.0,Low,High Floor
house,sector 7,2.0,2.0,2.0,2,Old Property,1440.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 89,0.25,1.0,1.0,1,New Property,430.0,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 1,0.75,3.0,4.0,3,Relatively New,2200.5,1.0,0.0,0.0,Low,Mid Floor
flat,sector 95,0.22,1.0,1.0,1,New Property,306.70103092783506,0.0,0.0,1.0,Low,Low Floor
flat,sector 103,1.15,2.0,2.0,3,Relatively New,1250.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 84,1.02,4.0,4.0,3,Relatively New,1889.819587628866,1.0,0.0,1.0,Medium,High Floor
house,sector 12,1.2,2.0,4.0,2,Relatively New,846.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 33,1.7,3.0,3.0,3,New Property,1215.0,1.0,0.0,1.0,Low,Mid Floor
house,sector 57,3.65,6.0,6.0,2,Moderately Old,3450.0,1.0,1.0,0.0,High,Mid Floor
flat,sector 1,2.01,4.0,4.0,3,Moderately Old,1584.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 85,1.04,2.0,2.0,3,New Property,1550.0,0.0,0.0,1.0,Medium,High Floor
flat,sector 65,2.5,3.0,3.0,3,Relatively New,1648.9690721649486,0.0,0.0,1.0,Low,High Floor
flat,sector 4,0.32,2.0,2.0,1,Relatively New,855.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 112,3.75,3.0,5.0,3,Relatively New,2527.577319587629,1.0,0.0,0.0,Low,High Floor
flat,sector 83,1.8,3.0,3.0,3,Relatively New,1414.976762886598,1.0,0.0,0.0,Medium,Mid Floor
flat,sector 84,1.24,3.0,3.0,3,Relatively New,1650.0,0.0,0.0,0.0,High,Mid Floor
flat,sector 106,1.05,3.0,4.0,3,Relatively New,1345.0,1.0,0.0,0.0,High,Mid Floor
house,sector 2,5.7,5.0,5.0,2,Old Property,4550.0,0.0,0.0,0.0,Medium,Low Floor
flat,sector 95,0.17,1.0,1.0,1,Relatively New,2890.8,0.0,0.0,1.0,Medium,High Floor
house,sector 26,4.6,4.0,4.0,3+,Old Property,3771.0,0.0,0.0,1.0,Low,Low Floor
flat,sector 84,2.24,4.0,4.0,3,Relatively New,2853.840206185567,1.0,0.0,1.0,Low,High Floor
flat,sector 89,1.2,3.0,3.0,3,New Property,862.1999999999999,0.0,1.0,0.0,Medium,Mid Floor
flat,sector 79,1.85,3.0,4.0,3,New Property,1939.4329896907216,1.0,0.0,0.0,Low,High Floor
house,sector 50,7.1,3.0,3.0,3,Moderately Old,2259.0,1.0,0.0,0.0,Low,Low Floor
flat,sector 67,0.53,2.0,2.0,1,Relatively New,531.9,0.0,0.0,0.0,Low,Mid Floor
flat,sector 103,1.05,2.0,2.0,3,Relatively New,1365.0,0.0,0.0,0.0,Medium,Low Floor
flat,sector 103,0.88,2.0,2.0,3,New Property,1227.7061855670104,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 49,4.21,5.0,6.0,3,Relatively New,3208.634020618557,1.0,0.0,1.0,Low,High Floor
flat,sector 102,1.38,3.0,3.0,3,Relatively New,1204.3620309278351,1.0,0.0,0.0,Medium,Mid Floor
flat,sector 50,2.65,3.0,3.0,3,Moderately Old,2491.0,1.0,0.0,1.0,High,Mid Floor
flat,sector 72,5.0,4.0,4.0,3,New Property,4000.0,1.0,1.0,0.0,High,Low Floor
flat,sector 77,0.99,2.0,2.0,2,Relatively New,1018.2989690721648,0.0,0.0,0.0,Medium,Low Floor
flat,sector 6,0.48,3.0,2.0,2,Moderately Old,90.0,0.0,0.0,1.0,Medium,Low Floor
flat,sector 85,1.85,4.0,5.0,3,Relatively New,2536.59793814433,0.0,0.0,0.0,Medium,Low Floor
flat,sector 108,3.25,3.0,3.0,3,Relatively New,2072.0,0.0,0.0,1.0,Medium,High Floor
house,sector 2,3.65,3.0,9.0,3+,New Property,1557.0,1.0,0.0,0.0,Medium,Mid Floor
house,sector 36,0.75,3.0,1.0,0,New Property,1081.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 79,1.25,2.0,2.0,3,Relatively New,1383.0,0.0,0.0,0.0,Low,Low Floor
house,sector 10,4.25,4.0,3.0,2,Moderately Old,2367.0,0.0,0.0,1.0,Low,Low Floor
flat,sector 109,1.5,3.0,3.0,3,Relatively New,1466.0,0.0,0.0,0.0,High,Mid Floor
house,sector 26,5.8,4.0,4.0,3+,Old Property,4518.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 81,4.7,4.0,4.0,3,Relatively New,6247.680412371135,1.0,0.0,0.0,Medium,High Floor
flat,sector 74,2.2,3.0,3.0,3,New Property,1820.360824742268,0.0,0.0,0.0,Low,High Floor
flat,sector 43,2.1,3.0,3.0,1,Old Property,1228.6082474226805,0.0,1.0,0.0,Medium,Low Floor
flat,sector 56,1.7,3.0,2.0,3,Old Property,1419.1494845360826,0.0,1.0,0.0,Medium,Mid Floor
flat,sector 65,3.0,4.0,4.0,3,Relatively New,1975.0,1.0,0.0,1.0,Medium,Low Floor
flat,sector 90,1.25,3.0,3.0,3,Relatively New,1640.0,0.0,0.0,1.0,High,Mid Floor
house,sector 46,2.25,4.0,3.0,3,Relatively New,90.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 37,1.43,3.0,3.0,3,Relatively New,1662.5515463917527,1.0,0.0,1.0,Low,Low Floor
flat,sector 90,1.29,3.0,3.0,3,Relatively New,1540.0,0.0,0.0,1.0,High,Mid Floor
flat,sector 56,1.55,3.0,3.0,3,Moderately Old,1804.1237113402065,1.0,0.0,0.0,Low,Mid Floor
flat,sohna road,0.27,2.0,2.0,1,Relatively New,411.768,0.0,0.0,0.0,Medium,Low Floor
flat,sector 107,1.39,3.0,4.0,3,Relatively New,1880.2840206185565,1.0,0.0,0.0,High,Mid Floor
flat,sector 1,0.5,2.0,2.0,N,Under Construction,1300.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 70,1.6,4.0,4.0,3,Relatively New,1600.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 83,1.3,3.0,3.0,1,Relatively New,2579.896907216495,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 69,1.6,3.0,3.0,2,Relatively New,1423.4536082474226,0.0,0.0,0.0,Low,Low Floor
house,sector 17,3.0,4.0,4.0,0,Old Property,2430.0,0.0,0.0,1.0,Low,Low Floor
flat,sector 113,1.5,2.0,2.0,2,New Property,1151.0309278350517,0.0,0.0,1.0,Medium,High Floor
flat,new sector 2,1.6,2.0,2.0,2,Relatively New,59.4,0.0,0.0,1.0,Low,Low Floor
house,sohna road,0.85,3.0,2.0,2,New Property,1120.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 33,1.45,3.0,2.0,3,New Property,1507.3453608247423,0.0,0.0,1.0,Low,Mid Floor
flat,sector 12,0.6,3.0,3.0,2,Relatively New,954.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 49,2.45,3.0,3.0,3,Relatively New,1859.1494845360824,0.0,0.0,1.0,Low,Low Floor
house,sector 48,3.35,6.0,5.0,3+,Moderately Old,6000.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 33,2.2,3.0,3.0,3,New Property,1894.3298969072168,1.0,0.0,0.0,Low,High Floor
flat,sector 56,0.47,1.0,1.0,1,Old Property,544.5,0.0,0.0,0.0,Medium,Mid Floor
house,sector 109,6.1,5.0,6.0,3+,Moderately Old,2430.0,1.0,0.0,1.0,Low,Low Floor
flat,sector 70,1.6,3.0,5.0,3,Relatively New,1755.0,1.0,0.0,0.0,High,Mid Floor
flat,sector 38,2.1,4.0,4.0,3,Old Property,1583.1,0.0,0.0,0.0,Low,Mid Floor
flat,sector 107,1.32,3.0,3.0,3,Relatively New,1752.7061855670104,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 86,1.25,3.0,4.0,3,Relatively New,1335.0515463917527,0.0,0.0,1.0,Low,Low Floor
flat,sector 107,1.3,3.0,3.0,3,Relatively New,1554.0,0.0,0.0,0.0,High,Mid Floor
flat,sector 106,1.42,4.0,6.0,3,Relatively New,2124.355670103093,1.0,0.0,1.0,Medium,High Floor
flat,sector 90,1.26,3.0,3.0,3,Relatively New,1442.6546391752577,0.0,0.0,0.0,Low,Mid Floor
flat,sector 36,0.65,2.0,2.0,2,Relatively New,654.8969072164948,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 85,2.0,3.0,4.0,3,Relatively New,2300.0,1.0,0.0,0.0,Low,Mid Floor
flat,sector 82,0.99,3.0,4.0,2,New Property,1614.6907216494849,1.0,0.0,1.0,Medium,High Floor
house,sector 48,19.5,5.0,6.0,3,Moderately Old,8775.0,1.0,1.0,0.0,Medium,Low Floor
flat,sector 90,1.25,4.0,5.0,2,Relatively New,2322.809278350516,1.0,0.0,1.0,High,Mid Floor
flat,sector 102,1.1,2.0,2.0,1,Relatively New,915.0,0.0,0.0,0.0,Low,Mid Floor
house,sector 57,9.25,5.0,5.0,3+,Relatively New,5580.0,1.0,1.0,0.0,High,Mid Floor
flat,sector 81,2.35,3.0,4.0,3,Relatively New,2259.042268041237,1.0,0.0,1.0,Medium,Mid Floor
flat,sector 90,1.3,4.0,5.0,2,Relatively New,1937.5515463917527,1.0,0.0,1.0,Medium,Mid Floor
flat,sector 79,1.72,3.0,4.0,3,Relatively New,1554.716494845361,1.0,0.0,0.0,High,Mid Floor
flat,sector 79,1.25,3.0,3.0,2,Relatively New,1118.6511030927834,0.0,0.0,0.0,High,Low Floor
flat,sector 36,0.36,1.0,1.0,1,Relatively New,364.01855670103095,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 78,1.1,3.0,3.0,3,Old Property,2176.0,1.0,0.0,1.0,Medium,Mid Floor
flat,sector 33,1.62,3.0,4.0,3,New Property,129.42,1.0,0.0,1.0,Medium,Mid Floor
