property_type,sector,price,bedroom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category
flat,sector 60,3.7,4.0,5.0,3,Relatively New,2525.773195876289,1.0,0.0,0.0,High,Mid Floor
flat,sector 85,0.69,2.0,2.0,2,Relatively New,1075.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 104,2.6,3.0,4.0,3,Relatively New,1715.0,1.0,0.0,0.0,Medium,Mid Floor
flat,sector 65,5.3,3.0,3.0,3,Moderately Old,2270.488144329897,1.0,0.0,0.0,Low,High Floor
flat,sector 84,0.35,2.0,2.0,2,Relatively New,434.7,0.0,0.0,1.0,Low,Mid Floor
flat,sector 22,1.65,2.0,2.0,2,Relatively New,1200.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 49,3.6,4.0,5.0,3,Moderately Old,2718.0,1.0,0.0,0.0,Low,Mid Floor
flat,sector 102,2.5,4.0,5.0,3,Relatively New,2884.7938144329896,1.0,0.0,0.0,Medium,Mid Floor
flat,sector 67,3.65,3.0,4.0,3,Relatively New,2490.0,1.0,0.0,0.0,Medium,High Floor
flat,sector 28,7.0,4.0,3.0,2,Moderately Old,2281.5974226804124,1.0,0.0,0.0,Low,Mid Floor
flat,sector 90,1.25,3.0,3.0,3,Relatively New,1700.0,1.0,0.0,1.0,Medium,High Floor
flat,sector 90,1.25,3.0,3.0,3,Relatively New,1551.5463917525774,0.0,0.0,1.0,Medium,High Floor
house,sector 3,0.4,2.0,1.0,0,Relatively New,500.0,0.0,0.0,1.0,Low,Low Floor
house,sector 50,10.0,5.0,7.0,2,Moderately Old,7000.0,1.0,0.0,0.0,Low,Mid Floor
house,sector 54,25.0,4.0,4.0,3+,Moderately Old,8036.0,1.0,1.0,1.0,Low,Low Floor
flat,sector 109,1.72,3.0,4.0,3,Relatively New,1797.0,1.0,0.0,0.0,High,Mid Floor
house,sector 25,13.5,9.0,9.0,0,Relatively New,7000.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 50,2.65,3.0,4.0,3,Moderately Old,2470.0,1.0,0.0,0.0,High,Mid Floor
flat,sector 95,0.24,2.0,2.0,1,Relatively New,41369.4,0.0,0.0,1.0,Low,Mid Floor
house,sector 38,4.3,3.0,9.0,3+,Relatively New,1494.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 37,1.4,4.0,5.0,3,Relatively New,2117.680412371134,1.0,0.0,1.0,Low,Mid Floor
flat,sector 99,0.27,2.0,2.0,1,Relatively New,403.2,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 61,2.5,3.0,3.0,1,New Property,1549.0,0.0,0.0,1.0,Medium,Low Floor
flat,sector 81,2.5,3.0,3.0,2,Relatively New,2130.0,1.0,0.0,0.0,Medium,Mid Floor
flat,sector 85,2.6,3.0,3.0,3,Relatively New,2129.0,1.0,0.0,1.0,Low,High Floor
flat,sector 79,1.47,2.0,2.0,3,New Property,75.609,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 41,2.75,3.0,3.0,2,Old Property,1640.0,0.0,0.0,0.0,Medium,High Floor
flat,sector 81,2.2,3.0,4.0,3,Relatively New,1894.3298969072168,1.0,0.0,0.0,Low,High Floor
flat,sector 67,2.0,3.0,3.0,3,New Property,1578.6082474226805,0.0,0.0,1.0,Low,High Floor
flat,sector 88,1.29,3.0,3.0,3,New Property,1467.329381443299,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 90,0.65,2.0,2.0,3,Relatively New,1217.7835051546392,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 85,1.8,3.0,3.0,3,Under Construction,114.57,0.0,0.0,1.0,Low,High Floor
house,sector 105,0.74,3.0,3.0,0,Moderately Old,1000.0,0.0,0.0,1.0,Low,Low Floor
house,sector 4,0.67,3.0,2.0,1,Moderately Old,783.0,0.0,0.0,1.0,Low,Low Floor
flat,sector 88,2.1,4.0,4.0,3,New Property,1745.0,1.0,0.0,1.0,Medium,Low Floor
flat,sector 76,3.5,3.0,4.0,3,New Property,2937.0,0.0,0.0,0.0,Low,Mid Floor
house,sector 47,1.15,3.0,3.0,3,Old Property,275.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 69,0.75,2.0,2.0,2,Moderately Old,1100.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 104,2.45,3.0,4.0,3,Relatively New,1933.0257731958764,1.0,0.0,0.0,Medium,High Floor
flat,sector 103,2.4,4.0,6.0,3,Relatively New,2456.0,1.0,0.0,1.0,High,High Floor
flat,sector 79,1.45,2.0,2.0,3,Relatively New,1278.0,0.0,0.0,1.0,Medium,High Floor
flat,sector 109,1.68,3.0,3.0,3,Relatively New,1574.09793814433,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 72,4.1,3.0,3.0,3,Moderately Old,2300.257731958763,1.0,0.0,0.0,Low,Mid Floor
house,sector 112,7.99,4.0,6.0,3,New Property,6382.0,1.0,1.0,0.0,Medium,Low Floor
flat,sector 37,0.6,2.0,2.0,3,New Property,561.4241030927835,0.0,0.0,1.0,Low,Mid Floor
house,sector 3,0.9,3.0,4.0,3,Moderately Old,3500.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 37,1.2,3.0,3.0,3,Relatively New,1641.7525773195878,0.0,0.0,1.0,Low,Mid Floor
flat,sector 3,1.25,2.0,2.0,3,Relatively New,1062.1386597938144,0.0,0.0,1.0,Low,High Floor
flat,sector 63,0.42,3.0,2.0,2,Relatively New,510.3,0.0,0.0,1.0,Low,Low Floor
flat,sector 66,1.51,2.0,2.0,2,Relatively New,1188.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 37,1.07,3.0,3.0,2,Relatively New,1174.5,0.0,0.0,1.0,Medium,Low Floor
house,sector 2,0.65,2.0,2.0,1,Moderately Old,1125.0,0.0,1.0,0.0,Low,Low Floor
flat,sohna road,0.53,2.0,2.0,2,Relatively New,739.8,0.0,0.0,0.0,High,Low Floor
flat,sector 68,0.82,2.0,2.0,3,Under Construction,1064.4329896907216,0.0,0.0,1.0,Medium,High Floor
flat,sector 70,2.55,3.0,3.0,3,New Property,2000.0,1.0,0.0,0.0,High,High Floor
flat,sector 81,0.6,2.0,2.0,1,Relatively New,810.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 85,1.05,2.0,2.0,3,Relatively New,1479.381443298969,0.0,0.0,1.0,Low,High Floor
flat,sector 89,0.75,2.0,2.0,2,Moderately Old,1028.3505154639176,0.0,0.0,1.0,Low,Mid Floor
flat,sector 90,0.65,2.0,2.0,3,Moderately Old,1217.7835051546392,0.0,0.0,0.0,Medium,Mid Floor
house,sector 4,0.4,1.0,1.0,0,Moderately Old,450.0,0.0,0.0,1.0,Low,Low Floor
house,sector 25,6.5,4.0,4.0,3+,Moderately Old,1800.0,1.0,1.0,0.0,Medium,Low Floor
flat,sector 85,0.67,2.0,2.0,2,Relatively New,1250.0,0.0,0.0,0.0,High,Mid Floor
house,sector 2,5.0,6.0,6.0,2,Moderately Old,2925.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 95,0.82,2.0,2.0,3,New Property,1004.9432989690722,0.0,0.0,1.0,Medium,High Floor
house,sector 50,9.8,4.0,4.0,3,Moderately Old,3240.0,1.0,0.0,0.0,Low,Low Floor
flat,sector 89,1.0,2.0,2.0,2,Under Construction,996.3,0.0,0.0,1.0,Low,Low Floor
flat,sector 56,0.6,1.0,1.0,1,Moderately Old,541.2371134020618,0.0,0.0,1.0,Low,Low Floor
house,sector 25,8.0,3.0,9.0,2,New Property,9000.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 1,0.85,3.0,2.0,2,Moderately Old,1502.8350515463917,0.0,0.0,1.0,Low,Mid Floor
flat,sector 92,0.9,4.0,5.0,3,Relatively New,1686.8556701030927,1.0,0.0,1.0,Medium,High Floor
flat,sector 69,2.6,4.0,4.0,3,Moderately Old,2164.9484536082477,1.0,0.0,0.0,Low,Mid Floor
house,sector 41,9.25,9.0,9.0,3+,Moderately Old,5000.0,1.0,1.0,0.0,Medium,Mid Floor
house,sector 109,9.5,7.0,6.0,3,Relatively New,3600.0,1.0,0.0,1.0,Medium,Mid Floor
flat,sector 113,2.4,3.0,4.0,3,Relatively New,1940.0,1.0,0.0,0.0,Low,Mid Floor
flat,sector 89,1.05,2.0,2.0,2,Under Construction,1103.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 48,1.38,3.0,3.0,1,Relatively New,1305.0,0.0,0.0,1.0,Medium,Low Floor
flat,sector 92,0.79,3.0,2.0,2,New Property,1170.8762886597938,0.0,0.0,1.0,Low,High Floor
flat,sector 108,3.75,3.0,3.0,2,New Property,2113.5309278350514,1.0,0.0,0.0,Medium,High Floor
flat,sector 92,0.51,3.0,2.0,2,Relatively New,1127.5773195876288,0.0,0.0,1.0,Medium,Low Floor
house,sector 82,3.85,5.0,6.0,3+,Relatively New,5140.0,0.0,0.0,0.0,Medium,Mid Floor
flat,sector 103,0.8,2.0,2.0,2,Relatively New,1361.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 30,3.55,3.0,5.0,3,Old Property,2367.0,1.0,0.0,0.0,Medium,High Floor
flat,sector 28,2.3,3.0,3.0,3,Moderately Old,1777.0,1.0,0.0,0.0,Medium,Mid Floor
flat,sector 103,2.2,4.0,6.0,3,Relatively New,2593.4278350515465,1.0,0.0,0.0,Medium,Mid Floor
flat,sector 62,9.14,4.0,6.0,3,Relatively New,3581.435051546392,1.0,1.0,0.0,Medium,High Floor
house,sector 11,1.2,7.0,3.0,0,Moderately Old,300.0,0.0,0.0,1.0,Low,Mid Floor
flat,sector 103,2.45,4.0,4.0,3,Relatively New,2593.4278350515465,1.0,1.0,0.0,Low,High Floor
flat,sector 9,1.25,4.0,3.0,3,Old Property,1625.4,1.0,0.0,0.0,Low,Low Floor
flat,sector 86,1.5,3.0,3.0,1,Relatively New,1550.0,0.0,0.0,1.0,High,High Floor
flat,sector 67,2.7,4.0,4.0,3,Moderately Old,2119.8453608247423,1.0,0.0,0.0,Medium,Mid Floor
flat,sohna road,0.87,2.0,2.0,3,Relatively New,1039.20206185567,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 1,1.65,4.0,3.0,3,New Property,2520.0,1.0,0.0,1.0,Low,Mid Floor
flat,sector 33,1.31,2.0,2.0,2,Under Construction,68.79599999999999,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 60,2.82,3.0,3.0,3,Relatively New,2400.0,1.0,0.0,0.0,High,Low Floor
flat,sector 37,1.1,3.0,3.0,2,Relatively New,1165.5,0.0,0.0,0.0,Low,Low Floor
flat,sector 55,1.9,4.0,3.0,3,Moderately Old,1620.0,0.0,0.0,0.0,Low,Mid Floor
flat,sector 112,5.31,4.0,6.0,3,Relatively New,3573.33,1.0,0.0,0.0,Medium,High Floor
house,sector 43,5.5,1.0,1.0,0,Old Property,1935.0,0.0,0.0,0.0,Low,Low Floor
flat,sector 49,2.64,3.0,4.0,3,Moderately Old,2252.0,1.0,0.0,0.0,Medium,Low Floor
flat,sector 82,0.8,2.0,2.0,3,Relatively New,1120.5,0.0,0.0,1.0,Low,Mid Floor
house,sector 70,0.92,2.0,3.0,3+,New Property,1068.3,0.0,0.0,0.0,High,Mid Floor
flat,sector 90,1.3,3.0,3.0,3,Relatively New,1700.0,0.0,0.0,1.0,Medium,Mid Floor
flat,sector 52,1.85,3.0,3.0,3,Moderately Old,2119.8453608247423,1.0,0.0,0.0,Low,Mid Floor
flat,sector 109,2.2,3.0,3.0,2,Moderately Old,2086.2,1.0,0.0,0.0,Medium,Mid Floor
flat,sohna road,0.25,1.0,1.0,1,Relatively New,600.0,0.0,0.0,1.0,Low,High Floor
